,features,feature_importance
245,company_location_Croatia,0.0
21,job_title_Big Data Engineer,0.0
20,job_title_Big Data Architect,0.0
244,company_location_Colombia,0.0
249,company_location_Egypt,0.0
246,company_location_Czech Republic,0.0
247,company_location_Denmark,0.0
276,company_location_New Zealand,0.0
277,company_location_Nigeria,0.0
278,company_location_Pakistan,0.0
279,company_location_Philippines,0.0
280,company_location_Poland,0.0
281,company_location_Portugal,0.0
282,company_location_Puerto Rico,0.0
283,company_location_Qatar,0.0
284,company_location_Romania,0.0
285,company_location_Russia,0.0
286,company_location_Saudi Arabia,0.0
287,company_location_Singapore,0.0
288,company_location_Slovenia,0.0
289,company_location_South Africa,0.0
290,company_location_South Korea,0.0
291,company_location_Spain,0.0
292,company_location_Sweden,0.0
293,company_location_Switzerland,0.0
294,company_location_Thailand,0.0
295,company_location_Turkey,0.0
296,company_location_Ukraine,0.0
297,company_location_United Arab Emirates,0.0
298,company_location_United Kingdom,0.0
4,job_title_AI Programmer,0.0
3,job_title_AI Engineer,0.0
5,job_title_AI Research Engineer,0.0
274,company_location_Moldova,0.0
273,company_location_Mexico,0.0
259,company_location_Indonesia,0.0
248,company_location_Ecuador,0.0
189,employee_residence_New Zealand,0.0
250,company_location_Estonia,0.0
251,company_location_Finland,0.0
252,company_location_France,0.0
7,job_title_AWS Data Architect,0.0
254,company_location_Ghana,0.0
255,company_location_Gibraltar,0.0
256,company_location_Greece,0.0
257,company_location_Honduras,0.0
258,company_location_India,0.0
260,company_location_Iran,0.0
272,company_location_Mauritius,0.0
261,company_location_Iraq,0.0
262,company_location_Ireland,0.0
263,company_location_Israel,0.0
264,company_location_Italy,0.0
265,company_location_Japan,0.0
266,company_location_Kenya,0.0
267,company_location_Latvia,0.0
268,company_location_Lithuania,0.0
269,company_location_Luxembourg,0.0
270,company_location_Malaysia,0.0
271,company_location_Malta,0.0
32,job_title_Compliance Data Analyst,0.0
185,employee_residence_Mauritius,0.0
188,employee_residence_Netherlands,0.0
47,job_title_Data Integration Engineer,0.0
102,job_title_Machine Learning Research Engineer,0.0
57,job_title_Data Operations Manager,0.0
56,job_title_Data Operations Engineer,0.0
106,job_title_Machine Learning Specialist,0.0
107,job_title_Manager Data Management,0.0
108,job_title_Managing Director Data Science,0.0
110,job_title_Marketing Data Engineer,0.0
111,job_title_NLP Engineer,0.0
112,job_title_Power BI Developer,0.0
113,job_title_Principal Data Analyst,0.0
54,job_title_Data Modeller,0.0
115,job_title_Principal Data Scientist,0.0
116,job_title_Principal Machine Learning Engineer,0.0
117,job_title_Product Data Analyst,0.0
53,job_title_Data Modeler,0.0
51,job_title_Data Management Specialist,0.0
50,job_title_Data Management Analyst,0.0
121,job_title_Sales Data Analyst,0.0
122,job_title_Software Data Engineer,0.0
123,job_title_Staff Data Analyst,0.0
124,job_title_Staff Data Scientist,0.0
125,job_title_Staff Machine Learning Engineer,0.0
126,job_category_BI and Visualization,0.0
127,job_category_Cloud and Database,0.0
49,job_title_Data Lead,0.0
101,job_title_Machine Learning Operations Engineer,0.0
100,job_title_Machine Learning Modeler,0.0
99,job_title_Machine Learning Manager,0.0
80,job_title_Deep Learning Researcher,0.0
69,job_title_Data Science Tech Lead,0.0
66,job_title_Data Science Lead,0.0
71,job_title_Data Scientist Lead,0.0
65,job_title_Data Science Engineer,0.0
73,job_title_Data Strategist,0.0
74,job_title_Data Strategy Manager,0.0
75,job_title_Data Visualization Analyst,0.0
76,job_title_Data Visualization Engineer,0.0
77,job_title_Data Visualization Specialist,0.0
78,job_title_Decision Scientist,0.0
64,job_title_Data Science Director,0.0
62,job_title_Data Quality Engineer,0.0
97,job_title_Machine Learning Engineer,0.0
82,job_title_ETL Developer,0.0
83,job_title_ETL Engineer,0.0
84,job_title_Finance Data Analyst,0.0
61,job_title_Data Quality Analyst,0.0
87,job_title_Head of Data Science,0.0
88,job_title_Head of Machine Learning,0.0
89,job_title_Insight Analyst,0.0
91,job_title_Lead Data Engineer,0.0
92,job_title_Lead Data Scientist,0.0
60,job_title_Data Product Owner,0.0
59,job_title_Data Product Manager,0.0
48,job_title_Data Integration Specialist,0.0
131,job_category_Data Management and Strategy,0.0
187,employee_residence_Moldova,0.0
46,job_title_Data Infrastructure Engineer,0.0
161,employee_residence_Estonia,0.0
162,employee_residence_Finland,0.0
163,employee_residence_France,0.0
164,employee_residence_Georgia,0.0
166,employee_residence_Ghana,0.0
167,employee_residence_Greece,0.0
168,employee_residence_Honduras,0.0
169,employee_residence_Hong Kong,0.0
170,employee_residence_India,0.0
171,employee_residence_Indonesia,0.0
172,employee_residence_Iran,0.0
173,employee_residence_Iraq,0.0
35,job_title_Consultant Data Engineer,0.0
175,employee_residence_Italy,0.0
176,employee_residence_Japan,0.0
177,employee_residence_Jersey,0.0
178,employee_residence_Kenya,0.0
179,employee_residence_Kuwait,0.0
180,employee_residence_Latvia,0.0
181,employee_residence_Lithuania,0.0
182,employee_residence_Luxembourg,0.0
183,employee_residence_Malaysia,0.0
184,employee_residence_Malta,0.0
68,job_title_Data Science Practitioner,0.0
186,employee_residence_Mexico,0.0
160,employee_residence_Egypt,0.0
159,employee_residence_Ecuador,0.0
37,job_title_Data Analytics Consultant,0.0
144,employee_residence_Bolivia,0.0
44,job_title_Data Developer,0.0
43,job_title_Data DevOps Engineer,0.0
42,job_title_Data Architect,0.0
136,employee_residence_Algeria,0.0
137,employee_residence_American Samoa,0.0
138,employee_residence_Andorra,0.0
139,employee_residence_Argentina,0.0
140,employee_residence_Armenia,0.0
41,job_title_Data Analytics Specialist,0.0
142,employee_residence_Austria,0.0
143,employee_residence_Belgium,0.0
145,employee_residence_Bosnia and Herzegovina,0.0
157,employee_residence_Denmark,0.0
146,employee_residence_Brazil,0.0
147,employee_residence_Bulgaria,0.0
40,job_title_Data Analytics Manager,0.0
149,employee_residence_Central African Republic,0.0
150,employee_residence_Chile,0.0
38,job_title_Data Analytics Engineer,0.0
152,employee_residence_Colombia,0.0
153,employee_residence_Costa Rica,0.0
154,employee_residence_Croatia,0.0
155,employee_residence_Cyprus,0.0
156,employee_residence_Czech Republic,0.0
151,employee_residence_China,0.0
